name,filename,category,description
Wedging,wedging,technique,Kneading clay to prepare it and remove air pockets.
Ball Kneading,ballkneading,technique,Kneading the clay with both hands before placing on the wheel.
Pinching,pinching,technique,Compressing and thinning clay by pinching with fingers.
Palm Rolling,palmrolling,handuse,Rolling small spheres or shapes with the palm of the hand.
Smoothing,smoothing,technique,Refining surfaces by running fingers or tools across clay.
