name,filename,category,description
Wedging,wedging,technique,Kneading clay to prepare it and remove air pockets.
Ball Kneading,ballkneading,technique,Kneading the clay with both hands before placing on the wheel.
Slab Pressing,slabpressing,technique,Pressing clay slabs into molds or together for construction.
Beveling,beveling,technique,Angling or trimming clay edges to join pieces or shape rims.
Joining,joining,technique,Combining two clay parts to form a unified structure.
Smoothing,smoothing,technique,Refining surfaces by running fingers or tools across clay.
Sponge Refinement,spongerefinement,handuse,Sponge held at rim or wall while wheel spins.
