name,filename,category,description
Wedging,wedging,technique,Kneading clay to prepare it and remove air pockets.
Ball Kneading,ballkneading,technique,Kneading the clay with both hands before placing on the wheel.
Coiling,coiling,technique,Rolling long snake-like coils to build forms.
Blending Coil,blendingcoil,technique,Smoothing and joining coils together.
Pulling Walls,pullingwalls,technique,One hand inside one outside pinching and lifting upward.
Rib Shaping Out,ribshapingout,technique,Using rib tool to shape the outside wall.
Rib Shaping In,ribshapingin,technique,Using rib tool to shape the inside wall.
Sponge Refinement,spongerefinement,handuse,Sponge held at rim or wall while wheel spins.
