name,filename,category,description
Wedging,wedging,technique,Kneading clay to prepare it and remove air pockets.
Ball Kneading,ballkneading,technique,Kneading the clay with both hands before placing on the wheel.
Coiling,coiling,technique,Rolling long snake-like coils to build forms.
Blending Coil,blendingcoil,technique,Smoothing and joining coils together.
Smoothing,smoothing,technique,Refining surfaces by running fingers or tools across clay.
